# x	y	u	v	mask
  4.2582	  1.3676	 -0.2784	 -2.6105	  0.0000
  4.5276	  1.3676	 -0.1752	 -2.6856	  0.0000
  4.7969	  1.3676	 -0.1493	 -2.7271	  0.0000
  5.0663	  1.3676	 -0.0835	 -2.2703	  0.0000
  0.2176	  1.0982	  0.5347	 -2.6586	  0.0000
  0.4869	  1.0982	  0.0780	 -2.7132	  0.0000
  0.7563	  1.0982	  0.0374	 -2.8008	  0.0000
  1.0257	  1.0982	  0.2984	 -2.4865	  0.0000
  1.2951	  1.0982	  0.4645	 -2.5458	  0.0000
  1.5644	  1.0982	  0.4387	 -2.4149	  0.0000
  1.8338	  1.0982	  0.1943	 -2.7353	  0.0000
  2.1032	  1.0982	  0.1276	 -2.5492	  0.0000
  2.3726	  1.0982	  0.0764	 -2.7073	  0.0000
  2.6419	  1.0982	 -0.0939	 -2.6028	  0.0000
  2.9113	  1.0982	 -0.1723	 -2.1159	  0.0000
  3.1807	  1.0982	 -0.3641	 -2.3224	  0.0000
  3.4501	  1.0982	 -0.0512	 -2.7220	  0.0000
  3.7194	  1.0982	 -0.3553	 -2.6587	  0.0000
  3.9888	  1.0982	 -0.0879	 -2.5749	  0.0000
  4.2582	  1.0982	 -0.0181	 -2.6192	  0.0000
  4.5276	  1.0982	  0.0401	 -2.6087	  0.0000
  4.7969	  1.0982	 -0.0505	 -2.6354	  0.0000
  5.0663	  1.0982	 -0.1396	 -2.4899	  0.0000
  0.2176	  0.8288	  0.1835	 -2.6406	  1.0000
  0.4869	  0.8288	  0.3443	 -2.7907	  0.0000
  0.7563	  0.8288	  0.3693	 -2.7240	  0.0000
  1.0257	  0.8288	  0.4413	 -2.4131	  0.0000
  1.2951	  0.8288	  0.1751	 -2.4452	  0.0000
  1.5644	  0.8288	  0.3762	 -2.4927	  0.0000
  1.8338	  0.8288	  0.0476	 -2.6757	  0.0000
  2.1032	  0.8288	 -0.1081	 -2.6441	  0.0000
  2.3726	  0.8288	 -0.1888	 -2.6665	  0.0000
  2.6419	  0.8288	 -0.3317	 -2.5916	  0.0000
  2.9113	  0.8288	 -0.2548	 -2.4683	  0.0000
  3.1807	  0.8288	 -0.2087	 -2.4917	  0.0000
  3.4501	  0.8288	 -0.1603	 -2.6097	  0.0000
  3.7194	  0.8288	 -0.1640	 -2.5113	  0.0000
  3.9888	  0.8288	 -0.1913	 -2.5986	  0.0000
  4.2582	  0.8288	 -0.1049	 -2.5468	  0.0000
  4.5276	  0.8288	 -0.1185	 -2.5858	  1.0000
  4.7969	  0.8288	 -0.1283	 -2.5031	  0.0000
  5.0663	  0.8288	 -0.0588	 -2.5428	  0.0000
  0.2176	  0.5595	  0.9174	 -2.6642	  0.0000
  0.4869	  0.5595	  0.0468	 -2.9552	  0.0000
  0.7563	  0.5595	  0.5409	 -2.5351	  0.0000
  1.0257	  0.5595	  0.4246	 -2.5271	  0.0000
  1.2951	  0.5595	 -0.0129	 -2.5591	  0.0000
  1.5644	  0.5595	  0.0784	 -2.4542	  0.0000
  1.8338	  0.5595	  0.0199	 -2.4243	  0.0000
  2.1032	  0.5595	  0.1785	 -2.5016	  0.0000
  2.3726	  0.5595	  0.0477	 -2.3875	  0.0000
  2.6419	  0.5595	 -0.0343	 -2.5694	  0.0000
  2.9113	  0.5595	  0.0721	 -2.5977	  0.0000
  3.1807	  0.5595	 -0.1694	 -2.4539	  0.0000
  3.4501	  0.5595	 -0.1995	 -2.5104	  0.0000
  3.7194	  0.5595	 -0.2537	 -2.6752	  0.0000
  3.9888	  0.5595	 -0.2506	 -2.6154	  0.0000
  4.2582	  0.5595	 -0.1882	 -2.5372	  0.0000
  4.5276	  0.5595	 -0.0690	 -2.4454	  0.0000
  4.7969	  0.5595	  0.1384	 -2.4306	  0.0000
  5.0663	  0.5595	  0.1206	 -2.5126	  0.0000
  0.2176	  0.2901	  0.4125	 -2.8541	  0.0000
  0.4869	  0.2901	  0.3039	 -2.6694	  0.0000
  0.7563	  0.2901	  0.3294	 -2.4551	  0.0000
  1.0257	  0.2901	  0.3468	 -2.7263	  0.0000
  1.2951	  0.2901	  0.0086	 -2.5729	  0.0000
  1.5644	  0.2901	  0.0165	 -2.5178	  0.0000
  1.8338	  0.2901	  0.0996	 -2.2279	  0.0000
  2.1032	  0.2901	  0.3627	 -2.4306	  0.0000
  2.3726	  0.2901	  0.1889	 -2.4352	  0.0000
  2.6419	  0.2901	 -0.0064	 -2.4026	  0.0000
  2.9113	  0.2901	 -0.0672	 -2.5305	  0.0000
  3.1807	  0.2901	 -0.2492	 -2.4725	  0.0000
  3.4501	  0.2901	 -0.1630	 -2.5148	  0.0000
  3.7194	  0.2901	 -0.2023	 -2.6162	  0.0000
  3.9888	  0.2901	 -0.1045	 -2.7468	  0.0000
  4.2582	  0.2901	 -0.1317	 -2.7339	  0.0000
  4.5276	  0.2901	 -0.0425	 -2.6608	  0.0000
  4.7969	  0.2901	  0.1041	 -2.6602	  0.0000
  5.0663	  0.2901	  0.3507	 -2.7175	  0.0000
